T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
1.149400000,4.918982491,3.360518385,.413720000,6.482102491,NA,.0000109309,434416,6228,NA,377950.2349051679,15053.6594798414,NA,NA,1.563120000,6.482102491,1.563120000,Edge-Only,Aeneas,192.168.1.131
1.056125000,3.132780486,2.904533724,.454895000,4.643800486,NA,.0000069616,431492,6228,NA,408561.4865664575,13691.0715659657,NA,NA,1.511020000,4.643800486,1.511020000,Edge-Only,Aeneas,192.168.1.131
1.001397000,3.094789616,2.891428027,.514008000,4.610194616,NA,.0000068772,421424,6228,NA,420836.0919795046,12116.5429331839,NA,NA,1.515405000,4.610194616,1.515405000,Edge-Only,Aeneas,192.168.1.131
1.061526000,3.110740985,2.909372343,.427896000,4.600162985,NA,.0000069126,434416,6228,NA,409237.2678577820,14554.9385832071,NA,NA,1.489422000,4.600162985,1.489422000,Edge-Only,Aeneas,192.168.1.131
1.124669000,3.153588732,2.901771770,.644444000,4.922701732,NA,.0000070079,431480,6228,NA,383650.6563264391,9664.1445959617,NA,NA,1.769113000,4.922701732,1.769113000,Edge-Only,Aeneas,192.168.1.131
1.083987000,3.095347376,2.895955108,.443207000,4.622541376,NA,.0000068784,421424,6228,NA,388772.1900723901,14052.1246279954,NA,NA,1.527194000,4.622541376,1.527194000,Edge-Only,Aeneas,192.168.1.131
1.093074000,3.113050102,2.898503028,.453611000,4.659735102,NA,.0000069178,434396,6228,NA,397407.6777967456,13729.8257758299,NA,NA,1.546685000,4.659735102,1.546685000,Edge-Only,Aeneas,192.168.1.131
1.172541000,3.113158800,2.901904423,.406628000,4.692327800,NA,.0000069180,431480,6228,NA,367987.1322196835,15316.2103937751,NA,NA,1.579169000,4.692327800,1.579169000,Edge-Only,Aeneas,192.168.1.131
1.072369000,3.101823386,2.902434470,.441328000,4.615520386,NA,.0000068928,421444,6228,NA,393002.7816917497,14111.9530145379,NA,NA,1.513697000,4.615520386,1.513697000,Edge-Only,Aeneas,192.168.1.131
1.062797000,3.086607503,2.903917381,.424385000,4.573789503,NA,.0000068590,434396,6228,NA,408729.0423288737,14675.3537471871,NA,NA,1.487182000,4.573789503,1.487182000,Edge-Only,Aeneas,192.168.1.131
1.181314000,3.125079618,2.904176005,.502367000,4.808760618,NA,.0000069445,431480,6228,NA,365254.2846355837,12397.3111291147,NA,NA,1.683681000,4.808760618,1.683681000,Edge-Only,Aeneas,192.168.1.131
1.257872000,3.107361182,2.894323672,.419520000,4.784753182,NA,.0000069051,421424,6228,NA,335029.3193584084,14845.5377574370,NA,NA,1.677392000,4.784753182,1.677392000,Edge-Only,Aeneas,192.168.1.131
1.278234000,3.129833350,2.900788617,.352040000,4.760107350,NA,.0000069551,434396,6228,NA,339840.7490334320,17691.1714577888,NA,NA,1.630274000,4.760107350,1.630274000,Edge-Only,Aeneas,192.168.1.131
1.263798000,3.155608457,2.899909658,.432418000,4.851824457,NA,.0000070123,431480,6228,NA,341415.3211193560,14402.7306911368,NA,NA,1.696216000,4.851824457,1.696216000,Edge-Only,Aeneas,192.168.1.131
1.069570000,3.111743210,2.901900324,.453663000,4.634976210,NA,.0000069149,421424,6228,NA,394012.5470983666,13728.2520284881,NA,NA,1.523233000,4.634976210,1.523233000,Edge-Only,Aeneas,192.168.1.131
1.214720000,3.119460792,2.906207268,.555148000,4.889328792,NA,.0000069320,434396,6228,NA,357609.9841938883,11218.6299869584,NA,NA,1.769868000,4.889328792,1.769868000,Edge-Only,Aeneas,192.168.1.131
.991018000,3.121937862,2.905801675,.406482000,4.519437862,NA,.0000069375,431480,6228,NA,435390.6790794919,15321.7116625090,NA,NA,1.397500000,4.519437862,1.397500000,Edge-Only,Aeneas,192.168.1.131
1.115876000,3.079219958,2.887591428,.464445000,4.659540958,NA,.0000068426,421424,6228,NA,377662.0341328247,13409.5533378548,NA,NA,1.580321000,4.659540958,1.580321000,Edge-Only,Aeneas,192.168.1.131
1.117080000,3.102656731,2.897134886,.431147000,4.650883731,NA,.0000068947,434396,6228,NA,388867.4043040784,14445.1892278039,NA,NA,1.548227000,4.650883731,1.548227000,Edge-Only,Aeneas,192.168.1.131
1.023359000,3.163921333,2.906880028,.456291000,4.643571333,NA,.0000070308,431480,6228,NA,421631.1186983258,13649.1844020592,NA,NA,1.479650000,4.643571333,1.479650000,Edge-Only,Aeneas,192.168.1.131
1.090319000,3.114728739,2.901022256,.386737000,4.591784739,NA,.0000069215,421424,6228,NA,386514.4054171302,16103.9672956039,NA,NA,1.477056000,4.591784739,1.477056000,Edge-Only,Aeneas,192.168.1.131
1.153084000,3.129339213,2.904079155,.395692000,4.678115213,NA,.0000069540,434416,6228,NA,376742.7177898574,15739.5145719397,NA,NA,1.548776000,4.678115213,1.548776000,Edge-Only,Aeneas,192.168.1.131
