T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
1.992667000,1.856860286,1.549876769,2.789556000,6.639083286,NA,.0000082526,39376,346348,NA,19760.4516961439,124158.8267093401,NA,NA,4.782223000,6.639083286,4.782223000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.321501000,1.914217430,1.469946680,3.187433000,7.423151430,NA,.0000085075,228204,1985700,NA,98300.1945723908,622977.8006314171,NA,NA,5.508934000,7.423151430,5.508934000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.237217000,2.411081220,1.487583150,3.246361000,7.894659220,NA,.0000107158,186700,2804928,NA,83451.8958152025,864022.2082510232,NA,NA,5.483578000,7.894659220,5.483578000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.983465000,1.672300874,1.275543012,2.713887000,6.369652874,NA,.0000074323,39376,346348,NA,19852.1274638070,127620.6415373963,NA,NA,4.697352000,6.369652874,4.697352000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.240474000,1.916145162,1.465956806,3.136847000,7.293466162,NA,.0000085161,228204,1985700,NA,101855.2324195683,633024.1800126050,NA,NA,5.377321000,7.293466162,5.377321000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.257175000,2.414141616,1.475500318,3.327796000,7.999112616,NA,.0000107294,186700,2804928,NA,82714.0119840065,842878.5899135644,NA,NA,5.584971000,7.999112616,5.584971000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.982255000,1.376819824,1.283892708,2.778445000,6.137519824,NA,.0000061191,39376,346348,NA,19864.2455183616,124655.3377878633,NA,NA,4.760700000,6.137519824,4.760700000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.347275000,1.887356624,1.461287513,3.172393000,7.407024624,NA,.0000083881,228204,1985700,NA,97220.8198868901,625931.2764843447,NA,NA,5.519668000,7.407024624,5.519668000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.246827000,2.405336576,1.466928618,3.333746000,7.985909576,NA,.0000106902,186700,2804848,NA,83094.9601371178,841350.2408401839,NA,NA,5.580573000,7.985909576,5.580573000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.979124000,1.369769447,1.277739585,2.841411000,6.190304447,NA,.0000060878,39376,346348,NA,19895.6710140445,121892.9609268071,NA,NA,4.820535000,6.190304447,4.820535000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.509805000,1.910518885,1.474824126,5.462664000,9.882987885,NA,.0000084911,228204,1985700,NA,90924.9921806674,363503.9607048868,NA,NA,7.972469000,9.882987885,7.972469000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
2.118355000,2.391198861,1.467714239,4.201916000,8.711469861,NA,.0000106274,186700,2804728,NA,88134.4250609553,667487.8793388539,NA,NA,6.320271000,8.711469861,6.320271000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.712415000,1.364465840,1.278640394,2.497151000,5.574031840,NA,.0000060642,39376,346348,NA,22994.4260007066,138697.2593968086,NA,NA,4.209566000,5.574031840,4.209566000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.981346000,1.903276937,1.285033727,3.549322000,7.433944937,NA,.0000084589,228204,1985700,NA,115176.2488732407,559458.9614579911,NA,NA,5.530668000,7.433944937,5.530668000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.951290000,2.382622148,1.485438065,3.860975000,8.194887148,NA,.0000105893,186700,2804728,NA,95680.2935493955,726429.9820641159,NA,NA,5.812265000,8.194887148,5.812265000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
1.682199000,1.376482250,1.272739534,2.469414000,5.528095250,NA,.0000061176,39376,346348,NA,23407.4565494332,140255.1374536630,NA,NA,4.151613000,5.528095250,4.151613000,Cloud-Only,YOLO,ec2-3-87-222-15.compute-1.amazonaws.com
