T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
.618819000,9.469665565,3.591673769,.580483000,10.668967565,2.0779054598,.0000210434,148876,3700,NA,240580.8483579204,6374.0023394311,NA,NA,1.199302000,10.668967565,1.199302000,Edge-Only,PocketSphinx,192.168.1.131
.637856000,13.424471791,2.911479073,.390888000,14.453215791,2.0215675167,.0000298318,215620,3708,NA,338038.6795765815,9486.0932031681,NA,NA,1.028744000,14.453215791,1.028744000,Edge-Only,PocketSphinx,192.168.1.131
.482423000,14.758664444,2.906483812,.424898000,15.665985444,2.2224812339,.0000327967,215620,3716,NA,446952.1560953768,8745.6283625717,NA,NA,.907321000,15.665985444,.907321000,Edge-Only,PocketSphinx,192.168.1.131
1.177471000,8.623366223,2.908219121,.459645000,10.260482223,1.8922040735,.0000191628,148876,3700,NA,126437.0842254289,8049.6905220333,NA,NA,1.637116000,10.260482223,1.637116000,Edge-Only,PocketSphinx,192.168.1.131
.621206000,13.426021604,2.898852080,.522414000,14.569641604,2.0218009003,.0000298353,215620,3708,NA,347099.0299514170,7097.8189711608,NA,NA,1.143620000,14.569641604,1.143620000,Edge-Only,PocketSphinx,192.168.1.131
.547983000,14.841239209,2.896668747,1.524103000,16.913325209,2.2349160220,.0000329802,215620,3716,NA,393479.3597611604,2438.1554265033,NA,NA,2.072086000,16.913325209,2.072086000,Edge-Only,PocketSphinx,192.168.1.131
1.358482000,8.604728874,2.899407807,.494018000,10.457228874,1.8881145258,.0000191214,148876,3700,NA,109589.9688034143,7489.6056418996,NA,NA,1.852500000,10.457228874,1.852500000,Edge-Only,PocketSphinx,192.168.1.131
.856375000,13.423723182,2.898837466,.361687000,14.641785182,2.0214547850,.0000298301,215620,3708,NA,251782.2215734929,10251.9581848393,NA,NA,1.218062000,14.641785182,1.218062000,Edge-Only,PocketSphinx,192.168.1.131
.517846000,14.772424406,2.905592673,.431986000,15.722256406,2.2245533223,.0000328272,215620,3716,NA,416378.6144915669,8602.1306246035,NA,NA,.949832000,15.722256406,.949832000,Edge-Only,PocketSphinx,192.168.1.131
.456190000,8.622174699,2.898603201,.384937000,9.463301699,1.8919426203,.0000191601,148876,3700,NA,326346.4784410004,9611.9624769767,NA,NA,.841127000,9.463301699,.841127000,Edge-Only,PocketSphinx,192.168.1.131
.736994000,13.415207946,2.899909346,.451127000,14.603328946,2.0201724906,.0000298112,215620,3708,NA,292566.8322944284,8219.4149319371,NA,NA,1.188121000,14.603328946,1.188121000,Edge-Only,PocketSphinx,192.168.1.131
.698966000,14.834274531,2.902262009,.440552000,15.973792531,2.2338672234,.0000329647,215620,3716,NA,308484.2467301699,8434.8726143565,NA,NA,1.139518000,15.973792531,1.139518000,Edge-Only,PocketSphinx,192.168.1.131
.700276000,8.638530704,2.887168318,.456936000,9.795742704,1.8955315783,.0000191965,148876,3700,NA,212596.1763647476,8097.4140798711,NA,NA,1.157212000,9.795742704,1.157212000,Edge-Only,PocketSphinx,192.168.1.131
.666973000,13.436758910,2.898859512,.507520000,14.611251910,2.0234178123,.0000298591,215620,3708,NA,323281.4521727266,7306.1160151324,NA,NA,1.174493000,14.611251910,1.174493000,Edge-Only,PocketSphinx,192.168.1.131
