T1,ET,T2,T3,RTT,RTF,Cost,BytesUp1,BytesDown1,BytesDown2,BytesPerSecUp1,BytesPerSecDown1,BytesPerSecDown2,T4,CL,FRTT,FCL,Pipeline,Application,Device
.471227000,8.889480193,3.596341364,.647524000,10.008231193,NA,.0000197542,39708,346840,NA,84265.1206318822,535640.3778083901,NA,NA,1.118751000,10.008231193,1.118751000,Edge-Only,YOLO,192.168.1.131
.599433000,9.145841661,2.920357938,1.202726000,10.948000661,NA,.0000203238,228536,1986192,NA,381253.6180023455,1651408.5502433638,NA,NA,1.802159000,10.948000661,1.802159000,Edge-Only,YOLO,192.168.1.131
.518112000,10.475331428,2.923857298,1.589053000,12.582496428,NA,.0000232782,187032,2805220,NA,360987.5856957569,1765340.7406801409,NA,NA,2.107165000,12.582496428,2.107165000,Edge-Only,YOLO,192.168.1.131
.445768000,7.635662065,2.895454496,.730332000,8.811762065,NA,.0000169679,39708,346840,NA,89077.7265303924,474907.3024323184,NA,NA,1.176100000,8.811762065,1.176100000,Edge-Only,YOLO,192.168.1.131
.538048000,9.136875530,2.929227746,1.118468000,10.793391530,NA,.0000203039,228536,1986192,NA,424750.2081598667,1775814.7752103770,NA,NA,1.656516000,10.793391530,1.656516000,Edge-Only,YOLO,192.168.1.131
.687829000,10.351998681,2.913571131,1.455393000,12.495220681,NA,.0000230042,187032,2805220,NA,271916.4210872178,1927465.6398649711,NA,NA,2.143222000,12.495220681,2.143222000,Edge-Only,YOLO,192.168.1.131
.425148000,7.627062307,2.898708019,.593579000,8.645789307,NA,.0000169488,39708,346840,NA,93398.0637331000,584319.8630679319,NA,NA,1.018727000,8.645789307,1.018727000,Edge-Only,YOLO,192.168.1.131
.637593000,9.178632600,2.910632598,1.228591000,11.044816600,NA,.0000203967,228536,1986192,NA,358435.5537153011,1616642.1534912757,NA,NA,1.866184000,11.044816600,1.866184000,Edge-Only,YOLO,192.168.1.131
.657648000,10.327413500,2.928378417,1.593276000,12.578337500,NA,.0000229495,187032,2805220,NA,284395.2996131669,1760661.6807131972,NA,NA,2.250924000,12.578337500,2.250924000,Edge-Only,YOLO,192.168.1.131
.504972000,7.679875432,2.884069923,.677153000,8.862000432,NA,.0000170662,39708,346840,NA,78634.0628787338,512203.2982206384,NA,NA,1.182125000,8.862000432,1.182125000,Edge-Only,YOLO,192.168.1.131
.710063000,9.141971312,2.918861683,1.270791000,11.122825312,NA,.0000203152,228536,1986192,NA,321853.1313418668,1562957.2447396936,NA,NA,1.980854000,11.122825312,1.980854000,Edge-Only,YOLO,192.168.1.131
.623066000,10.516500750,2.926261547,2.096867000,13.236433750,NA,.0000233697,187032,2805220,NA,300180.0772309835,1337814.9400987282,NA,NA,2.719933000,13.236433750,2.719933000,Edge-Only,YOLO,192.168.1.131
.434067000,7.673634320,2.890738324,.710565000,8.818266320,NA,.0000170523,39708,346840,NA,91478.9652288701,488118.6098386495,NA,NA,1.144632000,8.818266320,1.144632000,Edge-Only,YOLO,192.168.1.131
.556534000,9.154491800,2.926319352,1.314639000,11.025664800,NA,.0000203431,228536,1986192,NA,410641.5780527335,1510826.9266315695,NA,NA,1.871173000,11.025664800,1.871173000,Edge-Only,YOLO,192.168.1.131
.678209000,10.657250946,2.902576284,1.536779000,12.872238946,NA,.0000236825,187032,2805260,NA,275773.3972860873,1825415.3655144949,NA,NA,2.214988000,12.872238946,2.214988000,Edge-Only,YOLO,192.168.1.131
.390450000,7.666860922,2.910285215,.583475000,8.640785922,NA,.0000170372,39708,346840,NA,101698.0407222435,594438.4935087193,NA,NA,.973925000,8.640785922,.973925000,Edge-Only,YOLO,192.168.1.131
.688768000,9.250052169,2.931644466,1.265632000,11.204452169,NA,.0000205554,228536,1986192,NA,331804.0327076751,1569328.2091476827,NA,NA,1.954400000,11.204452169,1.954400000,Edge-Only,YOLO,192.168.1.131
.508847000,10.390255645,2.925561418,1.443799000,12.342901645,NA,.0000230892,187032,2805220,NA,367560.3865208992,1942943.5814819098,NA,NA,1.952646000,12.342901645,1.952646000,Edge-Only,YOLO,192.168.1.131
